BioProject	BioSample	Animal_ID
PRJNA532294	SAMN11393811	cy0112
PRJNA532294	SAMN11393812	cy0115
PRJNA532294	SAMN11393813	cy0151
PRJNA532294	SAMN11393814	cy0152
PRJNA532294	SAMN11393815	cy0153
PRJNA532294	SAMN11393816	cy0157
PRJNA532294	SAMN11393817	cy0160
PRJNA532294	SAMN11393818	cy0203
PRJNA532294	SAMN11393819	cy0204
PRJNA532294	SAMN11393820	cy0205
PRJNA532294	SAMN11393821	cy0206
PRJNA532294	SAMN11393822	cy0208
PRJNA532294	SAMN11393823	cy0209
PRJNA532294	SAMN11393824	cy0212
PRJNA532294	SAMN11393825	cy0213
PRJNA532294	SAMN11393826	cy0214
PRJNA532294	SAMN11393827	cy0338
PRJNA532294	SAMN11393828	cy0339
PRJNA532294	SAMN11393829	cy0344
PRJNA532294	SAMN11393830	cy0345
PRJNA532294	SAMN11393831	cy0347
PRJNA532294	SAMN11393832	cy0348
PRJNA532294	SAMN11393833	cy0349
PRJNA532294	SAMN11393834	cy0380
PRJNA532294	SAMN11393835	cy0381
PRJNA532294	SAMN11393836	cy0382
PRJNA532294	SAMN11393837	cy0383
PRJNA532294	SAMN11393838	cy0384
PRJNA532294	SAMN11393839	cy0385
PRJNA532294	SAMN11393840	cy0386
PRJNA532294	SAMN11393841	cy0387
PRJNA532294	SAMN11393842	cy0388
PRJNA532294	SAMN11393843	cy0416
PRJNA532294	SAMN11393844	cy0417
PRJNA532294	SAMN11393845	cy0418
PRJNA532294	SAMN11393846	cy0419
PRJNA532294	SAMN11393847	cy0554
PRJNA532294	SAMN11393848	cy0557
PRJNA532294	SAMN11393849	cy0560
PRJNA532294	SAMN11393850	cy0573
PRJNA532294	SAMN11393851	cy0580
PRJNA532294	SAMN11393852	cy0581
PRJNA532294	SAMN11393853	cy0641
PRJNA532294	SAMN11393854	cy0644
PRJNA532294	SAMN11393855	cy0645
PRJNA532294	SAMN11393856	cy0647
PRJNA532294	SAMN11393857	cy0650
PRJNA532294	SAMN11393858	cy0653
PRJNA532294	SAMN11393859	cy0655
PRJNA532294	SAMN11393860	cy0656
PRJNA532294	SAMN11393861	cy0879
PRJNA532294	SAMN11393862	cy0880
PRJNA532294	SAMN11393863	cy0881
PRJNA532294	SAMN11393864	cy0882
PRJNA532294	SAMN11393865	cy0883
PRJNA532294	SAMN11393866	cy0885
PRJNA532294	SAMN11393867	cy0886
PRJNA532294	SAMN11393868	cy0887
PRJNA532294	SAMN11393869	WIS643
PRJNA532294	SAMN11393870	WIS694
